  insmod-12410   0....  6164.582970: funcgraph_entry:                   |                            printk() {
  insmod-12410   0....  6164.582971: funcgraph_entry:                   |                              vprintk_func() {
  insmod-12410   0....  6164.582973: funcgraph_entry:                   |                                vprintk_default() {
  insmod-12410   0....  6164.582974: funcgraph_entry:                   |                                  vprintk_emit() {
  insmod-12410   0d...  6164.582975: funcgraph_entry:        0.261 us   |                                    __printk_safe_enter();
  insmod-12410   0d...  6164.582977: funcgraph_entry:        0.208 us   |                                    _raw_spin_lock();
  insmod-12410   0d...  6164.582980: funcgraph_entry:                   |                                    vprintk_store() {
  insmod-12410   0d...  6164.582983: funcgraph_entry:                   |                                      log_store() {
  insmod-12410   0d...  6164.582984: funcgraph_entry:        0.678 us   |                                        log_make_free_space();
  insmod-12410   0d...  6164.582988: funcgraph_exit:         4.010 us   |                                      }
  insmod-12410   0d...  6164.582989: funcgraph_exit:         8.020 us   |                                    }
  insmod-12410   0d...  6164.582989: funcgraph_entry:        0.261 us   |                                    __printk_safe_exit();
  insmod-12410   0....  6164.582992: funcgraph_entry:                   |                                    console_trylock() {
  insmod-12410   0....  6164.582993: funcgraph_entry:                   |                                      __down_trylock_console_sem() {
  insmod-12410   0d...  6164.582994: funcgraph_entry:        0.260 us   |                                        __printk_safe_enter();
  insmod-12410   0d...  6164.582996: funcgraph_entry:                   |                                        down_trylock() {
  insmod-12410   0d...  6164.582997: funcgraph_entry:        0.260 us   |                                          _raw_spin_lock_irqsave();
  insmod-12410   0d...  6164.582999: funcgraph_entry:        0.260 us   |                                          _raw_spin_unlock_irqrestore();
  insmod-12410   0d...  6164.583001: funcgraph_exit:         4.271 us   |                                        }
  insmod-12410   0d...  6164.583002: funcgraph_entry:        0.208 us   |                                        __printk_safe_exit();
  insmod-12410   0....  6164.583004: funcgraph_exit:       + 10.260 us  |                                      }
  insmod-12410   0....  6164.583005: funcgraph_exit:       + 12.552 us  |                                    }
  insmod-12410   0....  6164.583006: funcgraph_entry:                   |                                    console_unlock() {
  insmod-12410   0d...  6164.583008: funcgraph_entry:        0.209 us   |                                      __printk_safe_enter();
  insmod-12410   0d...  6164.583010: funcgraph_entry:        0.209 us   |                                      _raw_spin_lock();
  insmod-12410   0d...  6164.583012: funcgraph_entry:                   |                                      msg_print_text() {
  insmod-12410   0d...  6164.583014: funcgraph_entry:        2.761 us   |                                        print_prefix();
  insmod-12410   0d...  6164.583019: funcgraph_entry:        2.188 us   |                                        print_prefix();
  insmod-12410   0d...  6164.583023: funcgraph_exit:         9.791 us   |                                      }
  insmod-12410   0d...  6164.583025: funcgraph_entry:                   |                                      univ8250_console_write() {
  insmod-12410   0d...  6164.583026: funcgraph_entry:                   |                                        serial8250_console_write() {
  insmod-12410   0d...  6164.583027: funcgraph_entry:        0.416 us   |                                          _raw_spin_lock_irqsave();
  insmod-12410   0d...  6164.583030: funcgraph_entry:        0.416 us   |                                          mem_serial_in();
  insmod-12410   0d...  6164.583032: funcgraph_entry:        0.365 us   |                                          mem_serial_out();
  insmod-12410   0d...  6164.583034: funcgraph_entry:                   |                                          uart_console_write() {
  insmod-12410   0d...  6164.583036: funcgraph_entry:                   |                                            serial8250_console_putchar() {
  insmod-12410   0d...  6164.583037: funcgraph_entry:                   |                                              wait_for_xmitr() {
  insmod-12410   0d...  6164.583038: funcgraph_entry:        0.312 us   |                                                mem_serial_in();
  insmod-12410   0d...  6164.583040: funcgraph_exit:         2.708 us   |                                              }
  insmod-12410   0d...  6164.583041: funcgraph_entry:        0.208 us   |                                              mem_serial_out();
  insmod-12410   0d...  6164.583043: funcgraph_exit:         6.875 us   |                                            }
  insmod-12410   0d...  6164.583044: funcgraph_entry:                   |                                            serial8250_console_putchar() {
